1,Lila,Hevner,lhevner0@craigslist.org,Bigender,219.249.38.228,62,1276.68
2,Florrie,Gravie,fgravie1@msu.edu,Genderqueer,197.81.54.113,41,6496.03
3,Iona,Jakeman,ijakeman2@sbwire.com,Genderfluid,176.111.139.6,64,3291.72
4,Lori,Sinclair,lsinclair3@themeforest.net,Bigender,208.178.177.206,34,4311.57
5,Garrek,Pennick,gpennick4@harvard.edu,Bigender,2.249.170.164,64,5585.8
6,Shamus,Buckland,sbuckland5@shinystat.com,Genderfluid,117.127.226.137,49,6653.92
7,Steffen,Batchelor,sbatchelor6@behance.net,Polygender,229.31.206.168,29,5118.0
8,Edythe,Daile,edaile7@about.com,Genderfluid,195.20.53.5,24,5585.98
9,Rem,Horrell,rhorrell8@squarespace.com,Bigender,194.247.181.8,60,7547.97
10,Antonio,Novacek,anovacek9@ifeng.com,Agender,7.90.123.143,57,1406.54
11,Donnamarie,Brideau,dbrideaua@jalbum.net,Bigender,184.68.137.233,57,5174.64
12,Masha,Cumpton,mcumptonb@mail.ru,Non-binary,8.114.61.157,67,8700.85
13,Marney,Gatus,mgatusc@google.ca,Male,116.223.61.246,22,1160.76
14,Neda,Pitford,npitfordd@google.com.au,Non-binary,224.138.166.164,67,293.45
15,Lanette,Aries,lariese@last.fm,Non-binary,251.75.204.170,49,331.21
